Player,Pos,Age,Tm_x,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary
Bobby Portis,C,26,MIL,65,58,28.6,5.8,12.2,.475,1.9,4.8,.399,3.9,7.4,.524,.553,1.3,1.7,.750,2.5,6.6,9.2,1.2,0.7,0.8,1.3,2.5,14.8,17.7,.571,.393,.141,9.6,23.9,16.9,6.4,1.2,2.6,9.3,21.3,2.6,2.5,5.1,.133,1.1,-1.0,0.1,1.0,"$4,347,600"
Bogdan Bogdanović,SG,29,ATL,56,27,29.6,5.4,12.4,.432,2.6,7.1,.360,2.8,5.3,.529,.535,1.6,1.9,.856,0.5,3.5,3.9,3.1,1.1,0.2,1.2,2.1,14.9,15.2,.562,.574,.149,1.7,12.9,7.3,15.4,1.8,0.7,8.0,21.3,2.2,0.9,3.1,.090,1.3,-0.4,1.0,1.2,"$18,000,000"
Bojan Bogdanović,PF,32,UTA,64,64,30.9,6.2,13.4,.458,2.7,6.8,.392,3.5,6.7,.526,.557,3.1,3.6,.870,0.9,3.4,4.3,1.7,0.4,0.0,1.7,1.6,18.1,15.8,.603,.505,.269,3.2,11.7,7.6,8.6,0.7,0.0,10.3,23.6,3.6,1.3,4.8,.117,1.8,-1.8,0.0,1.0,"$18,700,000"
Bol Bol,PF,22,DEN,14,0,5.8,1.1,1.9,.556,0.1,0.3,.250,1.0,1.6,.609,.574,0.1,0.4,.400,0.3,1.1,1.4,0.4,0.1,0.1,0.3,0.3,2.4,13.6,.565,.148,.185,5.7,21.4,13.8,9.2,0.6,2.3,12.0,18.0,0.0,0.1,0.1,.068,-0.5,-0.4,-0.9,0.0,"$2,161,152"
Bones Hyland,PG,21,DEN,63,3,18.5,3.2,8.0,.399,1.9,5.0,.379,1.3,3.0,.432,.517,1.5,1.8,.838,0.2,2.5,2.7,2.5,0.6,0.2,1.2,2.2,9.7,13.8,.555,.623,.220,1.2,14.9,8.2,19.6,1.5,1.2,12.4,23.8,0.8,1.2,1.9,.080,-0.1,-0.7,-0.8,0.4,"$2,096,880"
Brad Wanamaker,PG,32,TOT,23,2,13.9,1.2,3.3,.364,0.2,0.7,.235,1.0,2.6,.400,.390,1.0,1.1,.920,0.3,1.4,1.7,2.4,0.3,0.3,1.0,2.0,3.6,7.6,.472,.221,.325,2.1,11.5,6.8,22.6,1.1,1.6,20.7,14.9,-0.1,0.1,0.0,.007,-5.3,-0.5,-5.8,-0.3,"$705,598"
Brad Wanamaker,PG,32,TOT,23,2,13.9,1.2,3.3,.364,0.2,0.7,.235,1.0,2.6,.400,.390,1.0,1.1,.920,0.3,1.4,1.7,2.4,0.3,0.3,1.0,2.0,3.6,7.6,.472,.221,.325,2.1,11.5,6.8,22.6,1.1,1.6,20.7,14.9,-0.1,0.1,0.0,.007,-5.3,-0.5,-5.8,-0.3,"$705,598"
Bradley Beal,SG,28,WAS,40,40,36.0,8.7,19.3,.451,1.6,5.3,.300,7.1,14.0,.508,.492,4.2,5.1,.833,1.0,3.8,4.7,6.6,0.9,0.4,3.4,2.4,23.2,17.7,.539,.272,.263,3.0,11.4,7.2,31.2,1.2,0.9,13.6,30.8,0.7,0.7,1.5,.049,2.1,-1.2,0.9,1.0,"$34,502,130"
Brandon Boston Jr.,SG,20,LAC,50,0,14.4,2.3,6.2,.377,0.7,2.2,.312,1.7,4.0,.413,.432,1.1,1.4,.838,0.3,1.8,2.1,0.9,0.5,0.2,0.6,0.8,6.5,11.0,.478,.352,.219,2.4,12.6,7.6,9.7,1.7,1.4,8.1,22.5,-0.5,0.8,0.3,.019,-3.0,-0.5,-3.5,-0.3,"$925,258"
Brandon Clarke,PF,25,MEM,59,1,19.5,4.4,6.9,.642,0.1,0.4,.190,4.4,6.6,.667,.647,1.4,2.1,.656,2.2,3.4,5.5,1.3,0.6,1.1,0.5,2.0,10.3,23.9,.659,.051,.306,11.3,18.3,14.7,10.2,1.4,5.2,6.5,17.6,4.1,1.8,5.9,.245,3.1,1.0,4.1,1.8,"$2,726,880"
Brandon Ingram,SF,24,NOP,51,51,34.1,8.5,18.2,.464,1.4,4.3,.332,7.0,13.9,.505,.503,4.5,5.6,.817,0.7,5.0,5.7,5.5,0.6,0.5,2.7,2.1,22.9,18.9,.554,.234,.306,2.1,16.5,9.2,27.8,0.9,1.3,11.5,29.5,2.4,1.2,3.7,.101,2.8,-0.6,2.2,1.9,"$29,467,800"
Braxton Key,SF,24,TOT,4,0,9.5,1.8,3.8,.467,0.3,0.8,.333,1.5,3.0,.500,.500,0.0,0.0,,0.8,1.5,2.3,0.3,0.8,0.8,1.0,1.8,3.8,11.8,.500,.200,.000,8.4,17.8,12.9,4.1,3.9,7.1,21.1,21.7,-0.1,0.1,0.0,-0.011,-5.4,2.9,-2.5,0.0,"$53,176"
Braxton Key,SF,24,TOT,4,0,9.5,1.8,3.8,.467,0.3,0.8,.333,1.5,3.0,.500,.500,0.0,0.0,,0.8,1.5,2.3,0.3,0.8,0.8,1.0,1.8,3.8,11.8,.500,.200,.000,8.4,17.8,12.9,4.1,3.9,7.1,21.1,21.7,-0.1,0.1,0.0,-0.011,-5.4,2.9,-2.5,0.0,"$53,176"
Brook Lopez,C,33,MIL,7,5,21.7,3.4,8.0,.429,1.1,3.6,.320,2.3,4.4,.516,.500,1.3,1.6,.818,1.6,2.1,3.7,0.9,0.6,1.3,0.9,3.1,9.3,13.2,.534,.446,.196,7.8,10.2,9.0,5.6,1.3,5.7,9.0,18.8,0.1,0.2,0.3,.095,-2.5,-0.1,-2.6,0.0,"$13,302,325"
Bruce Brown,SF,25,BRK,66,39,23.8,3.4,6.7,.501,0.4,1.2,.342,3.0,5.6,.534,.530,1.2,1.6,.743,1.4,3.3,4.7,1.8,1.1,0.6,0.7,2.4,8.3,14.4,.560,.171,.236,6.6,14.8,10.8,10.7,2.2,2.2,8.4,14.7,2.3,1.7,4.0,.121,-0.9,0.9,0.1,0.8,"$4,736,102"
Bruno Fernando,C,23,TOT,28,0,4.0,0.9,1.4,.632,0.0,0.1,.500,0.8,1.3,.639,.645,0.4,0.5,.714,0.5,0.9,1.4,0.1,0.0,0.3,0.3,0.6,2.1,19.3,.668,.053,.368,13.7,23.3,18.5,5.0,0.0,5.7,16.9,20.5,0.2,0.1,0.3,.140,-0.9,-0.3,-1.2,0.0,"$1,782,621"
Buddy Hield,SG,29,TOT,75,26,30.5,5.4,13.4,.404,3.2,8.8,.368,2.2,4.7,.471,.524,1.4,1.6,.869,0.8,3.5,4.3,2.7,0.9,0.3,1.8,2.2,15.5,13.0,.548,.652,.121,2.7,12.7,7.7,13.3,1.4,0.9,11.3,22.4,0.9,1.0,1.9,.040,0.6,-1.6,-1.1,0.5,"$22,477,273"
